,,,,fry trout mortality syndrome,,,condition,,,vegetable protein,,,,,,,,,,,,,,,,,,human consumption,,,clavulanic acid,,,habitat impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,resistance to antibiotic,,,,,,
,,,,fungal,,,moribund,,,fishmeal,,,,,,,,,,,,,,,,,,omega-3,,,ampicillin,,,habitat degrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antibiotic-resistant,,,,,,
,,,,fungi,,,morbidity,,,vegetable based,,,,,,,,,,,,,,,,,,lipid content,,,antifouling,,,environmental degrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antibiotic resistant,,,,,,
,,,,fungus,,,mortalit,,,vegetable-based,,,,,,,,,,,,,,,,,,lipid level,,,prophyla,,,ecological degrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public health,,,,,,
,,,,furunculosis,,,haemorrhage,,,black soldier fly,,,,,,,,,,,,,,,,,,,,,sanitary treatment,,,ecological damag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human health,,,,,,
,,,,gram-negative,,,exophthalmia,,,Hermetia illucens,,,,,,,,,,,,,,,,,,,,,sanitisation,,,environmental damag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human nutrition,,,,,,
,,,,gram-positive,,,hyphaemia,,,cricket,,,,,,,,,,,,,,,,,,,,,sanitization,,,damage environm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human disease,,,,,,
,,,,heart and skeletal muscle inflammation,,,melanosis,,,Gryllodes sigillatus,,,,,,,,,,,,,,,,,,,,,organophosphate,,,degraded environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoonos,,,,,,
,,,,Hexamita salmonis,,,cardiac lesions,,,superworm,,,,,,,,,,,,,,,,,,,,,dichlorvos,,,biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoonotic,,,,,,
,,,,HSMI,,,death,,,Zophobas morio,,,,,,,,,,,,,,,,,,,,,azamethiphos,,,species diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occupational health,,,,,,
,,,,Ich disease,,,immunity,,,insect feed,,,,,,,,,,,,,,,,,,,,,fallow,,,species richness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human safety,,,,,,
,,,,Ichthyophthirus multifilis,,,epicarditis,,,fermented soybean meal,,,,,,,,,,,,,,,,,,,,,cleaner fish,,,extinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safe for human,,,,,,
,,,,IHN,,,endocarditis,,,FSBM,,,,,,,,,,,,,,,,,,,,,egg ozonation,,,eutrophic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safe for people,,,,,,
,,,,IHNV,,,myocarditis,,,soybean meal,,,,,,,,,,,,,,,,,,,,,,,,pollut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safety of people,,,,,,
,,,,infect,,,myocardial necrosis,,,poultry by-product meal,,,,,,,,,,,,,,,,,,,,,,,,antibiotic resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safety of human,,,,,,
,,,,infectious agent,,,myositis,,,hydrolysed feather meal,,,,,,,,,,,,,,,,,,,,,,,,resistant to antibiotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker,,,,,,
,,,,infectious hematopoietic necrosis,,,necrosis,,,alternative protein,,,,,,,,,,,,,,,,,,,,,,,,resistance to antibiotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,farmer,,,,,,
,,,,Infectious haematopoietic necrosis,,,inflammation,,,replacement feed,,,,,,,,,,,,,,,,,,,,,,,,antibiotic-resistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citizen,,,,,,
,,,,infectious salmon anemia virus,,,ulcer,,,replacement protein,,,,,,,,,,,,,,,,,,,,,,,,antibiotic resistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the public,,,,,,
,,,,infest,,,septicaemi,,,replacement meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Janthinobacterium,,,survivorship,,,fermented canola protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,lactococcosis,,,jaundice,,,canola protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lactococcus,,,performance,,,FCPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lactococcus,,,growth,,,testes meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lactococcus garvieae,,,productivity,,,Macrogard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Myxobolus cerebralis,,,survival,,,poultry protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,outbreak,,,health,,,blood meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Paramoeba pemaquidensis,,,maturation,,,yeast extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,parasit,,,metacercariae,,,beef tallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,pathogen,,,,,,algae-based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,patholog,,,,,,algae based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,piscine orthoreovirus,,,,,,astaxanthin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,piscine reovirus,,,,,,carotenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,piscirickettsiosis,,,,,,aquafeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Plesiomonas,,,,,,sunflower oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,poxvirus,,,,,,codliver oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Proliferative kidney disease,,,,,,cod liver oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pseudomonas,,,,,,supplement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,puffy skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,rainbow trout fry syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Renibacterium salmoninarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,salmon gill poxvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Saprolegnia diclina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shewanella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,skeletal muscle inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spironucleus barkhanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spironucleus salmonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spironucleus vortens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Streptococcosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Streptococcus iniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tenacibaculum maritimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tetracapsula bryosalmonae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,transmission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vagococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vibrio anguillarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,viral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Viral hemorrhagic septicemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,virulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,virulent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,waterborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Weissella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,whirling disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,white spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yersinia ruckeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,red mark syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,salmonid alphavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,pancreas disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sleeping disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Moritella viscosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,piscine myocarditis virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,jaundice syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Diplostomum pseudospathaceum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,gastric dilation and air sacculitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,gastric dilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,air sacculitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
